tag_id	tag_name	category	rule	confidence	review_recommended
	post-punk	genre	wikidata_property:P136	0.9	0
	English	language	wikidata_property:P407	0.85	0
	crime film	genre	wikidata_property:P136	0.9	0
	martial arts film	genre	wikidata_property:P136	0.9	0
	LGBTQ-related film	genre	wikidata_property:P136	0.9	0
	ghost film	genre	wikidata_property:P136	0.9	0
	Chicago	setting	wikidata_property:P840	0.8	0
	serial killer	subject	wikidata_property:P921	0.85	0
	racism in the United States	subject	wikidata_property:P921	0.85	0
	New Hollywood	movement	wikidata_property:P135	0.9	0
	Tycho	setting	wikidata_property:P840	0.8	0
	science fiction action film	genre	wikidata_property:P136	0.9	0
	grunge	genre	wikidata_property:P136	0.9	0
	comedy porn film	genre	wikidata_property:P136	0.9	0
	doomsday device	subject	wikidata_property:P921	0.85	0
	melodrama	genre	wikidata_property:P136	0.9	0
	Portugal	country	wikidata_property:P495	0.85	0
	Germany	country	wikidata_property:P495	0.85	0
	fiction film	genre	wikidata_property:P136	0.9	0
	jazz	genre	wikidata_property:P136	0.9	0
	Gothic romance film	genre	wikidata_property:P136	0.9	0
	libido	subject	wikidata_property:P921	0.85	0
	sexploitation film	genre	wikidata_property:P136	0.9	0
	Child's Play	franchise	wikidata_property:P179	0.8	0
	superstition	subject	wikidata_property:P921	0.85	0
	accidental death	subject	wikidata_property:P921	0.85	0
	psychological repression	subject	wikidata_property:P921	0.85	0
	mystery fiction	genre	wikidata_property:P136	0.9	0
	satire	genre	wikidata_property:P136	0.9	0
	alternative music	genre	wikidata_property:P136	0.9	0
	road movie	genre	wikidata_property:P136	0.9	0
	Portland	setting	wikidata_property:P840	0.8	0
	prostitution	subject	wikidata_property:P921	0.85	0
	Thailand	setting	wikidata_property:P840	0.8	0
	Antarctica	setting	wikidata_property:P840	0.8	0
	Brazil	setting	wikidata_property:P840	0.8	0
	paganism	subject	wikidata_property:P921	0.85	0
	religion	subject	wikidata_property:P921	0.85	0
	murder	subject	wikidata_property:P921	0.85	0
	acid rock	genre	wikidata_property:P136	0.9	0
	guilt	subject	wikidata_property:P921	0.85	0
	insanity	subject	wikidata_property:P921	0.85	0
	exorcism in Christianity	subject	wikidata_property:P921	0.85	0
	West Germany	country	wikidata_property:P495	0.85	0
	B movie	genre	wikidata_property:P136	0.9	0
	romantic fiction	genre	wikidata_property:P136	0.9	0
	child abduction	subject	wikidata_property:P921	0.85	0
	literary fairy tale	genre	wikidata_property:P136	0.9	0
	virtue	subject	wikidata_property:P921	0.85	0
	violence	subject	wikidata_property:P921	0.85	0
	duty	subject	wikidata_property:P921	0.85	0
	World War II	subject	wikidata_property:P921	0.85	0
	Pacific War	subject	wikidata_property:P921	0.85	0
	faith	subject	wikidata_property:P921	0.85	0
	kaiju	genre	wikidata_property:P136	0.9	0
	Germany	setting	wikidata_property:P840	0.8	0
	libertine novel	genre	wikidata_property:P136	0.9	0
	Spaghetti Western	genre	wikidata_property:P136	0.9	0
	Friday the 13th	franchise	wikidata_property:P179	0.8	0
	detective fiction	genre	wikidata_property:P136	0.9	0
