entity_id	label	old_date	old_precision	new_date_type	new_date	new_precision
1	World War I	1914-07-28	3	point_in_time	1914-07-28	3
2	World War II	1939-09-01	3	point_in_time	1939-09-01	3
3	atomic bombings of Hiroshima and Nagasaki	1945-08-06	3	point_in_time	1945-08-06	3
5	punk rock	1975-01-01	1	point_in_time	1975-01-01	1
6	Moonmadness	1976-03-01	2	release	1976-03-01	2
7	Percy	1971-01-01	1	release	1971-01-01	1
8	Percy's Progress	1974-01-01	1	release	1974-01-01	1
9	A Love Supreme	1965-02-01	2	release	1965-02-01	2
10	May 68	1968-01-01	1	point_in_time	1968-01-01	1
11	Pirates II: Stagnetti's Revenge	2008-09-27	3	release	2008-09-27	3
12	Eraserhead	1977-01-01	1	release	1977-01-01	1
14	London Calling	1979-12-14	3	release	1979-12-14	3
15	Scream	1996-12-18	3	release	1996-12-18	3
16	The Seventh Victim	1943-01-01	1	release	1943-01-01	1
17	Deathdream	1974-08-29	3	release	1974-08-29	3
18	Men of Israel	2009-01-01	1	release	2009-01-01	1
20	MTV	1981-08-01	3	point_in_time	1981-08-01	3
21	Invasion of the Body Snatchers	1956-02-05	3	release	1956-02-05	3
22	Das indische Tuch	1963-01-01	1	release	1963-01-01	1
23	The Tragical History of the Life and Death of Doctor Faustus	1604-01-01	1	publication	1604-01-01	1
24	Stonewall riots	1969-06-28	3	point_in_time	1969-06-28	3
25	Trzecia część nocy	1972-01-01	1	release	1972-01-01	1
26	They Live	1988-11-04	3	release	1988-11-04	3
27	Excession	1996-01-01	1	publication	1996-01-01	1
28	glam rock	1969-01-01	1	point_in_time	1969-01-01	1
29	New Line Cinema	1967-01-01	1	inception	1967-01-01	1
31	O-Bi, O-Ba. Koniec cywilizacji	1985-01-01	1	release	1985-01-01	1
32	The Picture of Dorian Gray	1890-01-01	1	publication	1890-01-01	1
33	First Two 7s on a 12	1984-03-01	2	release	1984-03-01	2
34	2001: A Space Odyssey	1968-01-01	1	release	1968-01-01	1
35	Alien	1979-05-25	3	release	1979-05-25	3
36	Dr. Strangelove	1964-01-01	1	release	1964-01-01	1
37	Bram Stoker's Dracula	1992-11-13	3	release	1992-11-13	3
38	Spartacus	1960-01-01	1	release	1960-01-01	1
39	The Birds	1963-01-01	1	release	1963-01-01	1
41	Chi l'ha vista morire?	1972-05-12	3	release	1972-05-12	3
42	Dune	1984-12-14	3	release	1984-12-14	3
43	Gay Sex in the 70s	2005-01-01	1	release	2005-01-01	1
44	Slanted and Enchanted	1992-04-20	3	release	1992-04-20	3
45	Creature from the Black Lagoon	1954-01-01	1	release	1954-01-01	1
46	M	1931-01-01	1	release	1931-01-01	1
47	Santo contra cerebro del mal	1961-01-01	1	release	1961-01-01	1
48	The Invisible Man	1933-01-01	1	release	1933-01-01	1
